stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,stop_timezone,level_id
A0918,0918,МЕСТНОСТ МАНИЛОВ ДОЛ,,42.698848724365234,23.19542694091797,0,,,
A1496,1496,РУСКО ПОСОЛСТВО,,42.67293167114258,23.34746742248535,0,,,
A0505,0505,ГРЕБНА БАЗА - ПО ЖЕЛАНИЕ,,42.59796905517578,23.406251907348633,0,,,
A1760,1760,115-ТИ ПОЩЕНСКИ КЛОН,,42.63176345825195,23.380313873291016,0,,,
A2198,2198,УЛ. СУХОДОЛСКИ ПЪТ - ПО ЖЕЛАНИЕ,,42.71572494506836,23.221330642700195,0,,,
A2857,2857,МЕТРОСТАНЦИЯ ВИТОША,,42.65666198730469,23.31779670715332,0,,,
A2782,2782,УЛ. МОГИЛАТА,,42.656734466552734,23.32694435119629,0,,,
A2878,2878,ДЕТСКА ГРАДИНА 190,,42.63807678222656,23.34186553955078,0,,,
A2881,2881,УЛ. БОЯН БОЯНОВ,,42.63713836669922,23.3382568359375,0,,,
TB0912,0912,МЕТРОСТАНЦИЯ ВИТОША,,42.65980911254883,23.31768226623535,0,,,
A6771,6771,УЛ. ХАЙДУТ СИДЕР,,42.70854187011719,23.28631019592285,0,,,
A6753,6753,ЦЕНТРАЛНИ ХАЛИ,,42.70024490356445,23.3220272064209,0,,,
TB1912,1912,УЛ. ГОЦЕ ДЕЛЧЕВ,,42.712554931640625,23.273866653442383,0,,,
A2335,2335,ЦЕНТРАЛНИ ХАЛИ,,42.699913024902344,23.32374382019043,0,,,
A0298,0298,БУЛ. ВАСИЛ ЛЕВСКИ,,42.69877243041992,23.335731506347656,0,,,
TB2578,2578,102-РО ОУ,,42.73593521118164,23.305038452148438,0,,,
A1897,1897,УЛ. ГЕН. НИКОЛА ГЕНЕВ,,42.718990325927734,23.26276206970215,0,,,
A0020,0020,26-ТИ ДКЦ,,42.72560119628906,23.25493812561035,0,,,
A2146,2146,УЛ. ПРОФ. ВАЙГАНД,,42.69615173339844,23.28091812133789,0,,,
A0395,0395,БУЛ. ЧЕРНИ ВРЪХ,,42.683128356933594,23.31985855102539,0,,,
A1827,1827,УЛ. ЛАЗАРОПОЛЕ,,42.663246154785156,23.245634078979492,0,,,
A1437,1437,РАБОТИЛНИЦАТА,,42.697723388671875,23.44378662109375,0,,,
A6247,6247,БЛ. 541 Ж.К. ЛЮЛИН 5,,42.71334457397461,23.238298416137695,0,,,
TB0927,0927,КИНО ОДЕОН,,42.688594818115234,23.32962989807129,0,,,
A1965,1965,СОФИЙСКА МАТЕМАТИЧЕСКА ГИМНАЗИЯ ПАИСИЙ ХИЛЕНДАРСКИ,,42.701690673828125,23.333913803100586,0,,,
A0459,0459,ГАРА КУРИЛО - ПО ЖЕЛАНИЕ,,42.81829833984375,23.355974197387695,0,,,
TM1717,1717,ОБЩИНА ЛЮЛИН,,42.7154655456543,23.2506160736084,0,,,
A6589,6589,СЕЛИМИЦА,,42.619815826416016,23.18795394897461,0,,,
A6725,6725,БЛ. 480 Ж.К. МЛАДОСТ-4,,42.6264762878418,23.381715774536133,0,,,
TB0018,0018,24-ТИ ДКЦ,,42.73699188232422,23.301040649414062,0,,,
TM2234,2234,УЛ. ХЕМУС,,42.68353271484375,23.3541316986084,0,,,
A1959,1959,УЛ. ИЛИЯ БЕШКОВ,,42.66215896606445,23.404874801635742,0,,,
A2483,2483,ПЪТНОСТРОИТЕЛНА ТЕХНИКА,,42.71150588989258,23.370271682739258,0,,,
A0764,0764,НСБАЛ ПО ОНКОЛОГИЯ,,42.66273498535156,23.358030319213867,0,,,
A1037,1037,СТАДИОНА ГЕРМАН,,42.617862701416016,23.417789459228516,0,,,
A2034,2034,УЛ. ЛУИ АЙЕР,,42.6561279296875,23.29766845703125,0,,,
A2374,2374,МЕТРОСТАНЦИЯ БИЗНЕС ПАРК,,42.62993621826172,23.374134063720703,0,,,
A2620,2620,УЛ. КРУШАТА - ПО ЖЕЛАНИЕ,,42.79292297363281,23.32933807373047,0,,,
A6392,6392,КОЛЕЖ ПО ТЕЛЕКОМУНИКАЦИИ,,42.656620025634766,23.349899291992188,0,,,
TB0447,0447,УЛ. ЙЕРУСАЛИМ,,42.6544189453125,23.37277603149414,0,,,
TM1948,1948,УЛ. ЗОГРАФСКИ МАНАСТИР,,42.70669174194336,23.292194366455078,0,,,
A2723,2723,ПРОМИШЛЕНА ЗОНА УЛ. В. ЛЕВСКИ - ПО ЖЕЛАНИЕ,,42.757843017578125,23.275474548339844,0,,,
TM0299,0299,БУЛ. ВАСИЛ ЛЕВСКИ,,42.688255310058594,23.328706741333008,0,,,
A2722,2722,ПРОМИШЛЕНА ЗОНА УЛ. В. ЛЕВСКИ - ПО ЖЕЛАНИЕ,,42.75764465332031,23.275394439697266,0,,,
A0768,0768,ИНСТИТУТ ПО ЧЕРНА МЕТАЛУРГИЯ - ПО ЖЕЛАНИЕ,,42.74726486206055,23.50932502746582,0,,,
A2517,2517,УЛ. РАЙНА КНЯГИНЯ,,42.78556823730469,23.519235610961914,0,,,
A1157,1157,УЛ. ГЮЕШЕВО,,42.69279861450195,23.295089721679688,0,,,
TB1157,1157,Ул. Гюешево,,42.69279861450195,23.295089721679688,0,,,
TB0617,0617,ЛТУ,,42.65313720703125,23.359683990478516,0,,,
A0722,0722,УЛ. 5007,,42.670772552490234,23.40910530090332,0,,,
A1130,1130,НАЧАЛО С. МЪРЧАЕВО,,42.611366271972656,23.17975425720215,0,,,
TB2827,2827,МЕТРОСТАНЦИЯ СУ СВ. КЛИМЕНТ ОХРИДСКИ,,42.6920166015625,23.33353042602539,0,,,
TM0377,0377,БУЛ. СЛИВНИЦА,,42.70616912841797,23.31774139404297,0,,,
M1,1,СЛИВНИЦА,,42.72660827636719,23.26148223876953,0,,,
TM1055,1055,МЕТРОСТАНЦИЯ ЛЮЛИН,,42.717960357666016,23.256418228149414,0,,,
A1072,1072,ИНТЕР ЕКСПО ЦЕНТЪР,,42.6484260559082,23.395662307739258,0,,,
A1323,1323,ХОТЕЛ ХЕМУС,,42.6778564453125,23.322002410888672,0,,,
A1010,1010,ЛИФТА ДРАГАЛЕВЦИ,,42.620216369628906,23.304960250854492,0,,,
A0456,0456,ГАРА КАЗИЧЕНЕ,,42.65475082397461,23.459762573242188,0,,,
TB1964,1964,СОФИЙСКА МАТЕМАТИЧЕСКА ГИМНАЗИЯ ПАИСИЙ,,42.7009162902832,23.333913803100586,0,,,
A1667,1667,УЛ. ВЕСКО ВЕСЕЛИНОВ,,42.79043197631836,23.445030212402344,0,,,
A2161,2161,УЛ. РИЛСКА ОБИТЕЛ,,42.70148849487305,23.376853942871094,0,,,
A6036,6036,АВТОСТАНЦИЯ КНЯЖЕВО,,42.658695220947266,23.239931106567383,0,,,
A6462,6462,УЛ. ЛЕТОСТРУЙ,,42.708126068115234,23.38016700744629,0,,,
TB1986,1986,УЛ. КАП. Д. СПИСАРЕВСКИ,,42.671634674072266,23.386863708496094,0,,,
A2199,2199,УЛ. СУХОДОЛСКИ ПЪТ - ПО ЖЕЛАНИЕ,,42.715354919433594,23.220977783203125,0,,,
A1259,1259,ПЛОЩАД НА АВИАЦИЯТА,,42.6693229675293,23.367000579833984,0,,,
A1482,1482,УЛ. ДЕТЕЛИНА,,42.71826171875,23.227619171142578,0,,,
TB1567,1567,ПГСС,,42.6795768737793,23.254383087158203,0,,,
TB2112,2112,УЛ. ПИРОТСКА,,42.70048904418945,23.316129684448242,0,,,
TB1256,1256,ПЕТА ГРАДСКА БОЛНИЦА,,42.713157653808594,23.313371658325195,0,,,
TM0298,0298,БУЛ. ВАСИЛ ЛЕВСКИ,,42.69877243041992,23.335731506347656,0,,,
A2879,2879,ДЕТСКА ГРАДИНА 190,,42.63760757446289,23.341705322265625,0,,,
A1740,1740,ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,,42.65665054321289,23.359054565429688,0,,,
A0690,0690,Ж.К. СЛАТИНА,,42.68031311035156,23.37298583984375,0,,,
A2086,2086,УЛ. ОПЪЛЧЕНСКА,,42.701202392578125,23.310205459594727,0,,,
A1166,1166,10-ТИ ДКЦ,,42.70121383666992,23.29251480102539,0,,,
A1969,1969,УЛ. ЙОСИФ ЩРОСМАЙЕР,,42.71169662475586,23.301034927368164,0,,,
A1470,1470,БЛ. 4 Ж.К. СУХАТА РЕКА,,42.69932174682617,23.364822387695312,0,,,
A2166,2166,УЛ. ЛУИ ПАСТЬОР,,42.7208251953125,23.273042678833008,0,,,
A2603,2603,ПЪТЕН ВЪЗЕЛ КАЛОТИНА,,42.77546310424805,23.18109893798828,0,,,
A2533,2533,ПО ЖЕЛАНИЕ - ШОЛЦ БЪЛГАРИЯ,,42.75383377075195,23.493762969970703,0,,,
A2616,2616,СПОРТНА ЗАЛА АРЕНА АРМЕЕЦ,,42.67129898071289,23.370546340942383,0,,,
A1532,1532,СЕЛО ЖЕЛЯВА,,42.744834899902344,23.605302810668945,0,,,
